tree,tool,unit_relpath,declaration,effect_kind,site,destructive,effect_relpath,effect_lineno,source_excerpt,judgment,judgment_reason,verified_by,date
v2-innovatehubph__innovatehub-ai-platform,send_message,python/helpers/mcp_server.py,destructiveHint,FS_WRITE,os.chmod,True,python/helpers/files.py,326,"325: file_path = os.path.join(root, name) | 326: os.chmod(file_path, 0o777) | 327: for name in dirs:",,,,
v2-jsyzlbw__bbwatch,find_materials,src/bbwatch/mcp_server.py,readOnlyHint,FS_WRITE,os.chmod,True,src/bbwatch/config.py,39,"38: self.root.mkdir(mode=0o700, parents=True, exist_ok=True) | 39: os.chmod(self.root, 0o700) | 40: ",,,,
v2-jsyzlbw__bbwatch,get_status,src/bbwatch/mcp_server.py,readOnlyHint,FS_WRITE,os.chmod,True,src/bbwatch/config.py,39,"38: self.root.mkdir(mode=0o700, parents=True, exist_ok=True) | 39: os.chmod(self.root, 0o700) | 40: ",,,,
v2-jsyzlbw__bbwatch,list_pending,src/bbwatch/mcp_server.py,readOnlyHint,FS_WRITE,os.chmod,True,src/bbwatch/config.py,39,"38: self.root.mkdir(mode=0o700, parents=True, exist_ok=True) | 39: os.chmod(self.root, 0o700) | 40: ",,,,
v2-jsyzlbw__bbwatch,list_tasks,src/bbwatch/mcp_server.py,readOnlyHint,FS_WRITE,os.chmod,True,src/bbwatch/config.py,39,"38: self.root.mkdir(mode=0o700, parents=True, exist_ok=True) | 39: os.chmod(self.root, 0o700) | 40: ",,,,
v2-kaistenberg__mcp-linkedin,get_company_posts,linkedin_mcp_server/tools/company.py,"openWorldHint,readOnlyHint",FS_WRITE,os.chmod,True,linkedin_mcp_server/common_utils.py,93,"92: f.write(content) | 93: os.chmod(tmp, mode) | 94: os.replace(tmp, path)",,,,
v2-kaistenberg__mcp-linkedin,get_company_posts,linkedin_mcp_server/tools/company.py,"openWorldHint,readOnlyHint",FS_WRITE,os.replace,True,linkedin_mcp_server/common_utils.py,94,"93: os.chmod(tmp, mode) | 94: os.replace(tmp, path) | 95: except BaseException:",,,,
v2-kaistenberg__mcp-linkedin,get_company_posts,linkedin_mcp_server/tools/company.py,"openWorldHint,readOnlyHint",FS_WRITE,os.unlink,True,linkedin_mcp_server/common_utils.py,96,95: except BaseException: | 96: os.unlink(tmp) | 97: raise,,,,
v2-kaistenberg__mcp-linkedin,get_company_profile,linkedin_mcp_server/tools/company.py,"openWorldHint,readOnlyHint",FS_WRITE,os.chmod,True,linkedin_mcp_server/common_utils.py,93,"92: f.write(content) | 93: os.chmod(tmp, mode) | 94: os.replace(tmp, path)",,,,
v2-kaistenberg__mcp-linkedin,get_company_profile,linkedin_mcp_server/tools/company.py,"openWorldHint,readOnlyHint",FS_WRITE,os.replace,True,linkedin_mcp_server/common_utils.py,94,"93: os.chmod(tmp, mode) | 94: os.replace(tmp, path) | 95: except BaseException:",,,,
v2-kaistenberg__mcp-linkedin,get_company_profile,linkedin_mcp_server/tools/company.py,"openWorldHint,readOnlyHint",FS_WRITE,os.unlink,True,linkedin_mcp_server/common_utils.py,96,95: except BaseException: | 96: os.unlink(tmp) | 97: raise,,,,
v2-kaistenberg__mcp-linkedin,get_feed,linkedin_mcp_server/tools/feed.py,"openWorldHint,readOnlyHint",FS_WRITE,os.chmod,True,linkedin_mcp_server/common_utils.py,93,"92: f.write(content) | 93: os.chmod(tmp, mode) | 94: os.replace(tmp, path)",,,,
v2-kaistenberg__mcp-linkedin,get_feed,linkedin_mcp_server/tools/feed.py,"openWorldHint,readOnlyHint",FS_WRITE,os.replace,True,linkedin_mcp_server/common_utils.py,94,"93: os.chmod(tmp, mode) | 94: os.replace(tmp, path) | 95: except BaseException:",,,,
v2-kaistenberg__mcp-linkedin,get_feed,linkedin_mcp_server/tools/feed.py,"openWorldHint,readOnlyHint",FS_WRITE,os.unlink,True,linkedin_mcp_server/common_utils.py,96,95: except BaseException: | 96: os.unlink(tmp) | 97: raise,,,,
v2-kaistenberg__mcp-linkedin,get_saved_jobs,linkedin_mcp_server/tools/job.py,"openWorldHint,readOnlyHint",FS_WRITE,os.chmod,True,linkedin_mcp_server/common_utils.py,93,"92: f.write(content) | 93: os.chmod(tmp, mode) | 94: os.replace(tmp, path)",,,,
v2-kaistenberg__mcp-linkedin,get_saved_jobs,linkedin_mcp_server/tools/job.py,"openWorldHint,readOnlyHint",FS_WRITE,os.replace,True,linkedin_mcp_server/common_utils.py,94,"93: os.chmod(tmp, mode) | 94: os.replace(tmp, path) | 95: except BaseException:",,,,
v2-kaistenberg__mcp-linkedin,get_saved_jobs,linkedin_mcp_server/tools/job.py,"openWorldHint,readOnlyHint",FS_WRITE,os.unlink,True,linkedin_mcp_server/common_utils.py,96,95: except BaseException: | 96: os.unlink(tmp) | 97: raise,,,,
v2-kaistenberg__mcp-linkedin,search_jobs,linkedin_mcp_server/tools/job.py,"openWorldHint,readOnlyHint",FS_WRITE,os.chmod,True,linkedin_mcp_server/common_utils.py,93,"92: f.write(content) | 93: os.chmod(tmp, mode) | 94: os.replace(tmp, path)",,,,
v2-kaistenberg__mcp-linkedin,search_jobs,linkedin_mcp_server/tools/job.py,"openWorldHint,readOnlyHint",FS_WRITE,os.replace,True,linkedin_mcp_server/common_utils.py,94,"93: os.chmod(tmp, mode) | 94: os.replace(tmp, path) | 95: except BaseException:",,,,
v2-kaistenberg__mcp-linkedin,search_jobs,linkedin_mcp_server/tools/job.py,"openWorldHint,readOnlyHint",FS_WRITE,os.unlink,True,linkedin_mcp_server/common_utils.py,96,95: except BaseException: | 96: os.unlink(tmp) | 97: raise,,,,
v2-kaistenberg__mcp-linkedin,get_person_profile,linkedin_mcp_server/tools/person.py,"openWorldHint,readOnlyHint",FS_WRITE,os.chmod,True,linkedin_mcp_server/common_utils.py,93,"92: f.write(content) | 93: os.chmod(tmp, mode) | 94: os.replace(tmp, path)",,,,
v2-kaistenberg__mcp-linkedin,get_person_profile,linkedin_mcp_server/tools/person.py,"openWorldHint,readOnlyHint",FS_WRITE,os.replace,True,linkedin_mcp_server/common_utils.py,94,"93: os.chmod(tmp, mode) | 94: os.replace(tmp, path) | 95: except BaseException:",,,,
v2-kaistenberg__mcp-linkedin,get_person_profile,linkedin_mcp_server/tools/person.py,"openWorldHint,readOnlyHint",FS_WRITE,os.unlink,True,linkedin_mcp_server/common_utils.py,96,95: except BaseException: | 96: os.unlink(tmp) | 97: raise,,,,
v2-lara-unb__ros-mcp-ur3-antigravity,connect_to_robot,ros-mcp-server/ros_mcp/tools/connection.py,destructiveHint,SPAWN,subprocess.run,,ros-mcp-server/ros_mcp/utils/network_utils.py,87,"86:  | 87: ping_result = subprocess.run( | 88: ping_cmd, capture_output=True, text=True, timeout=ping_timeout + 1.0",,,,
v2-lara-unb__ros-mcp-ur3-antigravity,subscribe_for_duration,ros-mcp-server/ros_mcp/tools/topics.py,readOnlyHint,FS_WRITE,os.makedirs,False,ros-mcp-server/ros_mcp/utils/websocket.py,119,"118: # 4. Ensure output directory exists | 119: os.makedirs(""./camera"", exist_ok=True) | 120: ",,,,
v2-lara-unb__ros-mcp-ur3-antigravity,subscribe_once,ros-mcp-server/ros_mcp/tools/topics.py,readOnlyHint,FS_WRITE,os.makedirs,False,ros-mcp-server/ros_mcp/utils/websocket.py,119,"118: # 4. Ensure output directory exists | 119: os.makedirs(""./camera"", exist_ok=True) | 120: ",,,,
v2-ritikakumar0204__audience-trend-miner,run_audience_mining,mcp_server/server.py,"destructiveHint,openWorldHint",FS_WRITE,pathlib.Path.open,True,storage/run_lock.py,26,"25: self._path.parent.mkdir(parents=True, exist_ok=True) | 26: handle = self._path.open(""a+b"") | 27: if handle.seek(0, os.SEEK_END) == 0:",,,,
v2-rwheeler007__cohort,desktop_status,cohort/desktop/mcp_server.py,readOnlyHint,FS_WRITE,pathlib.Path.mkdir,False,cohort/desktop/config.py,110,"109: # Ensure directories exist | 110: config.screenshot_dir.mkdir(parents=True, exist_ok=True) | 111: config.audit_log.parent.mkdir(parents=True, exist_ok=True)",,,,
v2-rwheeler007__cohort,local_llm_generate,cohort/mcp/local_llm_server.py,readOnlyHint,SPAWN,subprocess.run,,cohort/local/detect.py,56,"55: # Hardcoded command: nvidia-smi --query-gpu=name,memory.total,memory.free --format=csv,noheader | 56: result = subprocess.run( | 57: [",,,,
v2-sontanon__docx-mcp,apply_changes,src/docx_mcp/server.py,destructiveHint,FS_WRITE,pathlib.Path.write_bytes,True,src/docx_mcp/document.py,510,"509: """"""Save the document to a .docx file."""""" | 510: Path(path).write_bytes(self.to_bytes())",,,,
v2-sontanon__docx-mcp,apply_changes_from_file,src/docx_mcp/server.py,destructiveHint,FS_WRITE,pathlib.Path.write_bytes,True,src/docx_mcp/document.py,510,"509: """"""Save the document to a .docx file."""""" | 510: Path(path).write_bytes(self.to_bytes())",,,,
v2-zomma-dev__quantcontext-mcp-server,backtest_strategy,src/quantcontext/server.py,readOnlyHint,FS_WRITE,builtins.open,True,src/quantcontext/engine/data.py,263,"262: tickers = table[""Symbol""].str.replace(""."", ""-"", regex=False).tolist() | 263: with open(SP500_CACHE_PATH, ""w"") as f: | 264: json.dump(tickers, f)",,,,
v2-zomma-dev__quantcontext-mcp-server,screen_stocks,src/quantcontext/server.py,readOnlyHint,FS_WRITE,builtins.open,True,src/quantcontext/engine/data.py,263,"262: tickers = table[""Symbol""].str.replace(""."", ""-"", regex=False).tolist() | 263: with open(SP500_CACHE_PATH, ""w"") as f: | 264: json.dump(tickers, f)",,,,
