# AuthGap の較正対 triage 表（§5.1 の列定義）。
# advisory_published は GitHub Advisory DB の published_at を採る（§5.1）。
#
# verified_by_me の意味（**ここを混ぜないこと**）:
#   sha+diff+two_sided = ref を git rev-parse で解決し、diff を目視し、
#                        AuthGap を両側に走らせてタプル変化を確認した
#   sha+diff           = ref と diff は一次確認したが AuthGap は未実行
#   none               = 仕様書 AUTHGAP_BRIEF_v3.md からの転記のみ。**未検証**
#
# expected_tuple_change は「採点前に凍結する」欄（§6 T1.1）。
# spec_expected_tuple_change は仕様書が書いていた値で、食い違う場合は
# notes に一次確認の内容を書く。**仕様書の値を黙って書き換えない。**
pair_id,cve_ids,ghsa_ids,repo,vuln_ref,fixed_ref,fix_commits,advisory_published,class,principal,two_sided,disappearance_reason,expected_tuple_change,spec_expected_tuple_change,required_sink_rows,weak_reason_needed,db_field_wrong,also_in_biflow_table3,verified_by_me,verified_against,notes
A11,CVE-2026-44339,,MervinPraison/PraisonAI,7a7df247,0cec9fd1,0cec9fd1,GitHub Advisory DB 2026-05-04,選択ハイジャック,MODEL,UNSCORED,selector-narrowing,DISPATCH 候補集合 resolution opaque -> resolved。**脆弱側 verdict は GAP_SELECT ではなく UNKNOWN(opaque)**,同左,DISPATCH,,,unchecked,none,,仕様書からの転記。**未検証。** NVD 2026-05-08 / reviewed 2026-05-11 と 3 つの日付がある
A12,CVE-2026-50180,GHSA-pmch-g965-grmr,langroid/langroid,56e2756e,00b7dd7b,00b7dd7b,,2,MODEL,NA,denylist-broadening,等級・理由とも weak(denylist_enum) のまま,同左,sqlalchemy 系,denylist_enum,,unchecked,none,,仕様書からの転記。**未検証。** 等級不変のため算入しない
A13,CVE-2026-54760,GHSA-6xc5-4r68-67fc,langroid/langroid,6e8e7b2b,59b73487,59b73487,,2,MODEL,CONDITIONAL,normalisation-add,weak(regex_no_canon) -> weak(denylist_enum),同左,sqlalchemy 系,regex_no_canon;denylist_enum,,unchecked,none,,仕様書からの転記。**未検証。** sqlglot を Def 5 の正規化子カタログに載せた場合に限り算入する
A14,CVE-2026-55615,GHSA-2pq5-3q89-j7cc,langroid/langroid,deb79824,5a3097d9,5a3097d9,,1b,MODEL,UNSCORED,validator-add,"ゲート無し -> config-conditional(allow_dangerous_operations, default=False) + validator",同左,neo4j.Session.run; arango.aql,,,unchecked,none,,仕様書からの転記。**未検証。** 1b でゲート導入型かつ既定閉 config atom の実例
A15,CVE-2026-55546,GHSA-mw6r-2hvm-4rp2,qwed-mcp,54ac6826,362e6189,362e6189,,1a,MODEL,UNSCORED,validator-add,EXEC(code_text) ゲート無し -> weak(記号 allowlist + 拒否語彙),同左,builtins.eval; sympy,underscore_denylist,,unchecked,none,,仕様書からの転記。**未検証。** strong-eval を実装しなくても両側判別できる
A16,CVE-2026-62240,,crewAIInc/crewAI-tools,b6fbe078,5d4851ea,5d4851ea,,2,MODEL,NA,redirect-rescope,検証子は不変で適用回数だけ変わる,同左,requests.get,,,unchecked,none,,仕様書からの転記。**未検証。** 等級不変のため算入しない
A17,CVE-2026-62676,,Omnigent,7ca0cca3,1a05b7b1,1a05b7b1,,2,MODEL,NA,parser-coverage,両側とも weak(fail_open),同左,subprocess 系,fail_open,,unchecked,none,,仕様書からの転記。**未検証。** 修正コミット本文が parser broadening と明言
A18,CVE-2026-25879,GHSA-mxfr-6hcw-j9rq,langroid/langroid,763d5cba,60933b48,60933b48,,1b/2,MODEL,PASS,validator-add,sql: grade None -> unknown（sqlglot 文型 allowlist）,ゲート無し -> sqlglot による文型 allowlist（既定 SELECT のみ）,sqlalchemy.text,,,unchecked,sha+diff+two_sided,"corpus/A18__vuln,corpus/A18__fixed",一次確認: allowed_statement_types + allow_dangerous_operations + sqlglot.parse。**Def 5 に「正規化後の allowlist」の等級が無い**ので等級は unknown に留めた（docs/open_questions.md Q10）。req_val が MODEL のままなのは config atom の源のうちコンストラクタ kwarg を読めないため（Q11）。langroid の ToolMessage 派生 + 同名ハンドラ形を R2 カタログに足して初めて入口として拾えた
B1,CVE-2026-35002,,agno-agi/agno,ea35f135,cbf67552,cbf67552,,1b,MODEL,NA,sink-removal,修正版で eval が消える,同左,builtins.eval,,,unchecked,none,,仕様書からの転記。**未検証。** 修正版を GAP 0 の負例 pin に使う
B2,CVE-2026-40152,,MervinPraison/PraisonAI,26e8f5ba,245a2d11,245a2d11,,1a,MODEL,UNSCORED,validator-add,glob pattern 未検証 -> 検証あり,同左,pathlib.Path.glob,,DB は 1.5.128 を patched とするが v4.5.128 の list_files は未検証のまま,unchecked,none,,仕様書からの転記。**未検証。**
B3,CVE-2026-45018;CVE-2026-45019,,Chainlit/chainlit,b8506a47,0565fd0e,0565fd0e,,配備モード,USER,EXCLUDED,principal-demotion,—,同左,mcp.StdioServerParameters,,,unchecked,none,,fullCommand はクライアント（USER）由来で MODEL 主体ではない。--hosted 感度分析の唯一の実 CVE 対
B4,CVE-2026-34935;CVE-2026-41497,,MervinPraison/PraisonAI,,,,,—,OP,EXCLUDED,no_MODEL_principal,—,—,mcp.StdioServerParameters,,,unchecked,none,,--mcp は CLI 引数 = OP 由来。除外。StdioServerParameters 行の実装確認にのみ使う
B5,CVE-2026-30625,,Upsonic/Upsonic,,,,,1c,MODEL,NA,no-fix,—,—,,,advisory が指す 855053f は 25 ファイル 4831 挿入の機能追加コミット,unchecked,none,,仕様書からの転記。**未検証。** 修正なし
B6,CVE-2025-47241,,browser-use/browser-use,0.1.44,0.1.45,,,1a,MODEL,UNSCORED,validator-add,split(':')[0] -> 検証あり,同左,,split_colon,,unchecked,none,,仕様書からの転記。**未検証。** 0.1.44 は git tag としては存在する（751b0435）が PyPI に無い
B7,CVE-2026-55443,,langchain-ai/langchain,,dcaf7795,dcaf7795,,1a,MODEL,UNSCORED,normalisation-add,prefix 比較 -> 境界つき比較,同左,,prefix_no_boundary,,unchecked,none,,仕様書からの転記。**未検証。** advisory 本文が path-segment 境界のない prefix 比較を明記
B8,CVE-2024-3098;CVE-2024-3271,,run-llama/llama_index,,,,,1b,MODEL,UNSCORED,validator-add,ゲート無し -> weak(underscore_denylist),同左,builtins.eval,underscore_denylist,,unchecked,none,,仕様書からの転記。**未検証。**
S1',CVE-2025-58337,GHSA-m35w-xx8c-6xc7,apache/doris-mcp-server,5923cc1^,5923cc1,5923cc1,,2',MODEL,UNSCORED,principal-demotion,self_granted 格下げが入って初めてタプルが変化する,同左,sqlalchemy 系,self_granted,,unchecked,none,,仕様書からの転記。**未検証。** 反証条件 F-5。@mcp.tool 入口から DB sink まで手続き間 10 ホップあり Def 4 の深さ 3 では届かない
S2,CVE-2026-35402,GHSA-x3cv-r3g3-fpg9,neo4j-contrib/mcp-neo4j,4d3454d^,4d3454d,4d3454d,,1b,MODEL,UNSCORED,—,GAP_INJECT(sql)=weak(regex_denylist) + CONTRADICTION -> opaque(remote),同左,neo4j.Session.run,regex_denylist,advisory は 0.6.0 で修正と書くが 0.6.0 の準備コミット dbc01ba は修正を含まない。実体は 4d3454d,unchecked,none,,仕様書からの転記。**未検証。** INJECT 側の予備候補
